comparison_id	set_name	region_class	gene_rank	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids	peak_hit_fraction_within_set
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	3	ENSG00000173821.20	RNF213	38	38	3	ENST00000319921.4;ENST00000508628.6;ENST00000582970.6	0.001831
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	4	ENSG00000127481.15	UBR4	38	38	3	ENST00000375218.3;ENST00000375224.1;ENST00000375254.8	0.001831
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	5	ENSG00000047410.14	TPR	37	37	2	ENST00000367478.9;ENST00000613151.1	0.001783
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	6	ENSG00000115464.15	USP34	33	33	1	ENST00000398571.7	0.00159
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	7	ENSG00000164199.18	ADGRV1	31	31	1	ENST00000405460.9	0.001494
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	8	ENSG00000124942.14	AHNAK	29	29	3	ENST00000257247.11;ENST00000378024.9;ENST00000530124.5	0.001398
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	9	ENSG00000126883.20	NUP214	28	28	17	ENST00000359428.10;ENST00000411637.6;ENST00000652454.1;ENST00000897205.1;ENST00000897206.1;ENST00000897207.1;ENST00000897208.1;ENST00000897209.1;ENST00000897210.1;ENST00000922158.1;ENST00000922159.1;ENST00000922160.1;ENST00000922161.1;ENST00000922162.1;ENST00000922163.1;ENST00000922164.1;ENST00000922165.1	0.001349
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	10	ENSG00000130816.18	DNMT1	27	27	11	ENST00000340748.8;ENST00000359526.9;ENST00000676610.1;ENST00000677946.1;ENST00000678804.1;ENST00000679103.1;ENST00000679313.1;ENST00000917926.1;ENST00000917927.1;ENST00000917928.1;ENST00000917929.1	0.001301
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	11	ENSG00000253729.10	PRKDC	27	27	5	ENST00000314191.7;ENST00000338368.7;ENST00000697603.1;ENST00000911723.1;ENST00000911724.1	0.001301
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	12	ENSG00000128731.18	HERC2	25	25	1	ENST00000261609.13	0.001205
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	13	ENSG00000177084.20	POLE	25	25	3	ENST00000320574.10;ENST00000535270.5;ENST00000937600.1	0.001205
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	14	ENSG00000117523.18	PRRC2C	25	25	4	ENST00000338920.8;ENST00000367742.7;ENST00000426496.6;ENST00000647382.2	0.001205
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	15	ENSG00000127616.23	SMARCA4	25	25	64	ENST00000344626.10;ENST00000429416.8;ENST00000444061.8;ENST00000541122.6;ENST00000589677.5;ENST00000590574.6;ENST00000642628.1;ENST00000642726.1;ENST00000643296.1;ENST00000643549.1;ENST00000644737.1;ENST00000645460.1;ENST00000646484.1;ENST00000646510.1;ENST00000646693.2;ENST00000647230.1;ENST00000711079.1;ENST00000896342.1;ENST00000896343.1;ENST00000924714.1;ENST00000924715.1;ENST00000924716.1;ENST00000924717.1;ENST00000924718.1;ENST00000924719.1;ENST00000924720.1;ENST00000924721.1;ENST00000924722.1;ENST00000924723.1;ENST00000924724.1;ENST00000924725.1;ENST00000924726.1;ENST00000924727.1;ENST00000924728.1;ENST00000924729.1;ENST00000924730.1;ENST00000924731.1;ENST00000924732.1;ENST00000924733.1;ENST00000924734.1;ENST00000924735.1;ENST00000924736.1;ENST00000924737.1;ENST00000924738.1;ENST00000924739.1;ENST00000924740.1;ENST00000924741.1;ENST00000924742.1;ENST00000924743.1;ENST00000924744.1;ENST00000924745.1;ENST00000924746.1;ENST00000924747.1;ENST00000924748.1;ENST00000924749.1;ENST00000924750.1;ENST00000924751.1;ENST00000924752.1;ENST00000924753.1;ENST00000924754.1;ENST00000924755.1;ENST00000924756.1;ENST00000970840.1;ENST00000970841.1	0.001205
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	16	ENSG00000127914.20	AKAP9	24	24	16	ENST00000356239.8;ENST00000359028.7;ENST00000491695.2;ENST00000679521.1;ENST00000679821.1;ENST00000680072.1;ENST00000680181.1;ENST00000680513.1;ENST00000680534.1;ENST00000680766.1;ENST00000680952.1;ENST00000681412.1;ENST00000681722.1;ENST00000925975.1;ENST00000925976.1;ENST00000925977.1	0.001157
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	17	ENSG00000131503.22	ANKHD1	24	24	9	ENST00000360839.7;ENST00000394722.7;ENST00000394723.7;ENST00000532219.5;ENST00000616482.4;ENST00000907941.1;ENST00000936090.1;ENST00000936091.1;ENST00000936092.1	0.001157
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	18	ENSG00000254996.5	ANKHD1-EIF4EBP3	24	24	9	ENST00000360839.7;ENST00000394722.7;ENST00000394723.7;ENST00000532219.5;ENST00000616482.4;ENST00000907941.1;ENST00000936090.1;ENST00000936091.1;ENST00000936092.1	0.001157
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	19	ENSG00000143776.21	CDC42BPA	24	24	8	ENST00000334218.9;ENST00000366764.8;ENST00000366766.8;ENST00000366767.7;ENST00000366769.7;ENST00000963196.1;ENST00000963197.1;ENST00000963198.1	0.001157
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	20	ENSG00000183495.16	EP400	24	24	3	ENST00000333577.8;ENST00000389561.7;ENST00000935960.1	0.001157
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	1	ENSG00000185420.19	SMYD3	208	208	4	ENST00000403792.7;ENST00000490107.6;ENST00000630181.2;ENST00000651181.1	0.005551
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	2	ENSG00000166501.15	PRKCB	176	176	9	ENST00000321728.12;ENST00000643927.1;ENST00000867666.1;ENST00000914401.1;ENST00000965655.1;ENST00000965656.1;ENST00000965657.1;ENST00000965658.1;ENST00000965659.1	0.004697
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	3	ENSG00000283117.2	MGC4859	174	174	7	ENST00000422697.1;ENST00000634803.1;ENST00000804836.1;ENST00000804837.1;ENST00000804845.1;ENST00000804849.1;ENST00000804851.1	0.004643
